ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,K,D_prime
sub-Vog107,Münster,r,f,NaN,NaN,NaN,3.18799788432257,3.03124068202562
sub-Vog108,Münster,r,f,NaN,NaN,NaN,2.23944860276961,2.40412560953179
sub-Vog109,Münster,r,m,NaN,NaN,NaN,2.47383107860181,2.63636751591698
sub-Vog110,Münster,r,m,NaN,NaN,NaN,2.68054924068218,2.64213915995395
sub-Vog111,Münster,r,f,NaN,NaN,NaN,2.6710494108291,2.77880250498671
sub-Vog112,Münster,r,f,NaN,NaN,NaN,2.72009782326163,3.14318874672798
sub-Vog113,Münster,r,f,NaN,NaN,NaN,3.24900768367048,3.08191936494988
sub-Vog114,Münster,r,f,NaN,NaN,NaN,2.34823004601487,2.62835671037313
sub-Vog115,Münster,r,f,NaN,NaN,NaN,2.86264832329989,2.83305399205506
sub-Vog116,Münster,r,f,NaN,NaN,NaN,1.99288880511967,2.01779056994734
sub-Vog117,Münster,r,f,NaN,NaN,NaN,1.6473934675812,1.53016920687544
sub-Vog118,Münster,r,f,NaN,NaN,NaN,2.40855092204717,2.5244640283508
sub-Vog119,Münster,r,m,NaN,NaN,NaN,2.83788564128414,2.82669737123943
sub-Vog120,Münster,r,f,NaN,NaN,NaN,3.19863667681143,3.16219110695447
sub-Vog121,Münster,r,f,NaN,NaN,NaN,2.98117635619304,3.17023907467282
sub-Vog122,Münster,r,f,NaN,NaN,NaN,3.05744119434558,3.0622361006277
sub-Vog123,Münster,r,f,NaN,NaN,NaN,2.88610904422069,2.80681234625578
sub-Vog124,Münster,r,f,NaN,NaN,NaN,2.95909425977557,3.09654500223261
sub-Vog125,Münster,l,f,NaN,NaN,NaN,2.14281471395023,2.13449192427652
sub-Vog126,Münster,r,f,NaN,NaN,NaN,2.91776610294147,3.24413777284026
sub-Vog127,Münster,r,f,NaN,NaN,NaN,2.84588009101712,3.29659127352175
sub-Vog128,Münster,r,f,NaN,NaN,NaN,2.05210594446426,1.75960624934031
sub-Vog129,Münster,r,f,NaN,NaN,NaN,3.06115201862865,3.37674929424823
sub-Vog130,Münster,r,f,NaN,NaN,NaN,-0.162893436818116,-0.159085227810848
sub-Vog131,Münster,l,f,NaN,NaN,NaN,2.18957752322689,2.07556873117819
sub-Vog132,Münster,r,f,NaN,NaN,NaN,2.8249777680047,3.19069050679288
sub-Vog133,Münster,r,f,NaN,NaN,NaN,2.43237270463045,3.15592666517842
sub-Vog134,NorthDakota,n/a,m,NaN,NaN,NaN,2.82524291292073,3.11449752981975
sub-Vog135,NorthDakota,n/a,f,NaN,NaN,NaN,1.60783234177505,1.55481215614343
sub-Vog136,NorthDakota,n/a,m,NaN,NaN,NaN,1.88777295043262,2.017177341138
sub-Vog137,NorthDakota,n/a,m,NaN,NaN,NaN,2.04942121443266,2.09253495027591
sub-Vog138,NorthDakota,n/a,m,NaN,NaN,NaN,2.13992625285507,2.17133284094002
sub-Vog139,NorthDakota,n/a,f,NaN,NaN,NaN,1.09414034696541,0.95280161206697
sub-Vog140,NorthDakota,n/a,m,NaN,NaN,NaN,1.91002588728531,2.00392287862723
sub-Vog141,NorthDakota,n/a,m,NaN,NaN,NaN,1.90180065667723,1.89846183172152
sub-Vog142,NorthDakota,n/a,m,NaN,NaN,NaN,1.23805853024859,1.39563578540363
sub-Vog143,NorthDakota,n/a,f,NaN,NaN,NaN,1.15434441042378,1.47224104825616
sub-Vog144,NorthDakota,n/a,f,NaN,NaN,NaN,1.04761365519161,0.927328496116025
sub-Vog145,NorthDakota,n/a,f,NaN,NaN,NaN,-0.00840482029552729,-0.00608894545069527
sub-Vog146,NorthDakota,n/a,f,NaN,NaN,NaN,1.82241459175065,1.68319947083039
sub-Vog147,NorthDakota,n/a,f,NaN,NaN,NaN,1.73933133959524,1.81068551800512
sub-Vog148,NorthDakota,n/a,f,NaN,NaN,NaN,1.45342297300232,1.69795019383539
sub-Vog149,NorthDakota,n/a,m,NaN,NaN,NaN,1.0156933481112,0.951491805875918
sub-Vog150,NorthDakota,n/a,m,NaN,NaN,NaN,1.88058824708957,2.18232851527293
sub-Vog151,NorthDakota,n/a,m,NaN,NaN,NaN,1.42632749504407,1.67367758161088
sub-Vog152,NorthDakota,n/a,m,NaN,NaN,NaN,2.03976528848021,2.01665175427467
sub-Vog153,NorthDakota,n/a,m,NaN,NaN,NaN,0.956535813971742,0.898940997229711
sub-Vog154,NorthDakota,n/a,f,NaN,NaN,NaN,0.544592386960178,0.496292446650382
sub-Vog155,NorthDakota,n/a,m,NaN,NaN,NaN,2.49126809106453,2.92615334167188
sub-Vog156,NorthDakota,n/a,m,NaN,NaN,NaN,1.16606056880234,1.51434704906217
sub-Vog157,NorthDakota,n/a,f,NaN,NaN,NaN,0.99180256264367,0.821806479035987
sub-Vog158,NorthDakota,n/a,f,NaN,NaN,NaN,2.71951396356547,2.65612414377296
sub-Vog159,NorthDakota,n/a,m,NaN,NaN,NaN,1.21495484880187,1.31552699674359
sub-Vog160,NorthDakota,n/a,f,NaN,NaN,NaN,0.695970275911801,0.659967200407965
sub-Vog161,NorthDakota,n/a,f,NaN,NaN,NaN,2.19839491727462,2.14063140564811
sub-Vog162,Ohio,n/a,n/a,NaN,NaN,NaN,2.34032849212671,2.34123505995554
sub-Vog163,Ohio,n/a,n/a,NaN,NaN,NaN,1.99642828015532,2.02960389451636
sub-Vog164,Ohio,n/a,n/a,NaN,NaN,NaN,1.77068311506058,1.65155705417331
sub-Vog165,Ohio,n/a,n/a,NaN,NaN,NaN,2.67977381242695,2.72916332512666
sub-Vog166,Ohio,n/a,n/a,NaN,NaN,NaN,2.04122283140333,1.83915223446475
sub-Vog167,Ohio,n/a,n/a,NaN,NaN,NaN,2.60188243909225,2.75018263627681
sub-Vog168,Ohio,n/a,n/a,NaN,NaN,NaN,2.0097727659882,2.08924073552647
sub-Vog169,Ohio,n/a,n/a,NaN,NaN,NaN,2.43526984913734,2.43931561397073
