ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,Contra,Ipsi,K,D_prime
sub-Vog038,Florida,r,f,0.771192936631025,-0.0551507133634118,0.412925462556328,-0.124667116863089,-0.509488318401444,2.11539648660687,2.11468450713455
sub-Vog040,Florida,a,f,0.100630274698546,0.14496869936204,0.822321436107822,0.0618926488704483,-0.283452539176048,0.684242254697865,0.782424010997368
sub-Vog041,Florida,n/a,m,-0.0705695456941306,0.449558744497817,-0.289828031829259,1.16578514594226,1.13408850449422,1.79664138910282,1.87683257747561
sub-Vog042,Florida,a,f,-0.259305169932757,0.2909654694493,-0.439189567186178,0.765695382823341,0.894823977844783,0.920522436582108,0.721683823049137
sub-Vog043,Florida,r,f,-0.248732588699983,-0.367813308956834,0.0060016678576021,0.972476311983313,1.17042510530756,0.321541017524401,0.290631665333165
sub-Vog045,Florida,l,f,-0.0566084379654012,-0.247783560157787,-0.0114566140885364,2.61853403359292,2.72851495344037,1.63438936247506,1.69957658156271
sub-Vog046,Florida,r,f,1.26303183724385,0.484112719777426,-0.740615031822186,-1.60787762354789,-1.89048522600496,1.46583567218482,1.18022173765666
sub-Vog047,Florida,r,f,-0.846513664822363,1.10222542579142,0.317186538733967,0.491715238071183,0.320354411179108,0.596718509637696,0.709047039553492
sub-Vog048,Florida,l,f,-0.0700311747624454,0.299503170875572,0.143749659129205,0.396139507351419,0.281742197292936,2.13398904771234,2.05750999847645
sub-Vog049,Florida,r,f,-0.716475573417526,0.386250355419653,-0.0468832373169605,-1.69914438862842,-1.61437134651402,1.71367420700815,1.67836140399157
sub-Vog050,Florida,r,f,-1.48327121731769,0.686137622423051,0.787695903305109,-1.00703425114941,-1.02007234111099,1.57627940626307,1.49620638808177
sub-Vog052,Florida,n/a,f,0.115019606120842,0.135209735159735,0.389650266354906,-0.116641653501838,-0.298201499626166,0.988076957322359,0.719534977268804
sub-Vog053,Florida,r,f,-0.0987765951453717,-0.788648178190019,-0.206874699351516,-0.538151936648592,-0.16263119624648,1.09701220719872,1.37275857670775
sub-Vog054,Florida,r,m,-0.543256333379164,-1.00492833808355,-0.138153317306882,1.11470126953784,1.68344723582081,1.51032060182864,1.30111319652045
sub-Vog055,Florida,r,f,0.571073608226891,-0.601565037598246,0.711051246272607,-0.3176951711234,-0.530537977052776,1.78595848802406,2.08391866060294
sub-Vog056,Florida,r,f,0.226401980575778,-0.4112584262273,0.257019352725876,-0.308214279447603,-0.365658893250007,1.47654690130662,1.50871013642211
sub-Vog058,Florida,r,f,0.117887194855206,0.221408675375388,0.316385441092109,-1.11321456138814,-1.32669712210799,1.35322640632316,1.12403129938253
sub-Vog059,Florida,r,f,-0.367248228437178,-0.686691556282728,-1.6263978073518,-0.377077565353584,0.545294225728045,2.15588146661147,2.42069688564098
sub-Vog060,Florida,l,f,-0.549449726879827,-0.401693739517693,0.159913400918984,-0.272950174491938,-0.00833043477866257,1.05268819356608,1.26807867548107
sub-Vog061,Florida,r,f,0.12845325183935,-0.387239688007791,0.24847037789544,-0.409905823349426,-0.400043158025835,2.28483019771022,2.03178370478827
sub-Vog062,Florida,r,f,0.631561967757761,-1.11841651419374,-0.804392016692631,-1.12799878062127,-0.69706035832348,1.32745791511065,1.71745246072513
sub-Vog064,Florida,r,m,-0.32625031017183,-0.833310735230321,-0.480668785061844,-1.67895023568751,-1.1242857624008,2.213796368818,2.30158308746435
sub-Vog066,Florida,l,f,-0.012909231893957,1.02210732467982,-0.845754278894824,-0.941417631041627,-1.05219529931936,2.64027356427842,2.54934166362094
sub-Vog068,Florida,l,f,-0.038890797006852,0.528000169625317,-0.0429073878522642,-0.635142518332229,-0.749567058277473,2.33232820090405,2.41535931938287
sub-Vog069,Florida,r,m,0.0817221651280202,1.01612497459443,1.13914166916595,-0.206381654104377,-0.896723968828693,2.20019860565213,1.8805477085238
sub-Vog070,Florida,l,f,0.0815353882737481,0.333740890918019,0.0932500041058253,-0.258403111880133,-0.434793448853512,2.62387139763452,3.02534534608037
sub-Vog071,Florida,r,f,-0.125860106272617,1.08628551441256,-0.598279287800608,-0.213844722486574,-0.339939020130624,1.21012192799566,1.69716221285874
sub-Vog072,Florida,r,f,0.123571516769676,-0.642644054878947,1.08623549603505,-0.484175392002768,-0.682950953082029,2.49274795886357,2.17876320755618
sub-Vog073,Florida,r,f,-1.72034739541352,-0.473884842011588,-1.49824892041473,-0.202485495766108,1.02394913247859,2.34543778610618,2.01642739861935
sub-Vog074,Florida,l,m,0.394818335139443,0.496490351573429,0.284676418605461,-0.338893468990437,-0.721382887239347,0.819230021870678,0.739992118361974
sub-Vog075,Florida,r,f,-0.372306780007291,0.860204190621514,-0.1799592228318,-0.932335570589608,-1.02884687865551,1.80800678627116,1.59931981708501
sub-Vog077,Florida,r,f,-0.0874506314216176,1.09435653764696,-0.0648845263465116,-0.611354185501533,-0.948995984627681,1.70196413319193,1.58831767155956
sub-Vog078,Florida,r,m,-0.42043381401562,0.460224988091275,-0.704140162078039,-2.30690096798096,-2.08223376866674,2.16598995827888,2.07966663642841
sub-Vog079,Mainz,r,f,0.115750358393476,-0.837624590606999,-0.233842975000057,-3.7223754529636,-3.36741021692828,2.89046032506121,2.55881186837392
sub-Vog080,Mainz,r,f,0.486381950642932,0.21374158324949,0.173031154893335,0.0876280049494153,-0.204934461418662,3.14173950323652,3.11979442147819
sub-Vog081,Mainz,r,f,-0.0886107467822352,0.0500597227984877,0.0945998005035587,-2.82441535430982,-2.83989542576153,1.96814630248301,2.09440314676984
sub-Vog082,Mainz,r,m,0.351041409554229,0.374265917905978,0.627009251963059,-2.07028622118332,-2.51602681399582,1.7856196181023,1.714772469236
sub-Vog083,Mainz,r,f,0.131353668074082,0.196409517483081,0.109717366569045,-1.91428027634749,-2.05219939056758,1.66407057836116,2.38521213631286
sub-Vog084,Mainz,r,f,0.200651385713908,-1.12475869098801,-1.06827098714769,-3.03893851460179,-2.38257033319792,1.5678328328667,1.27584378522655
sub-Vog085,Mainz,r,f,0.942541658137609,-0.165957853775311,-0.257939457246432,-4.93145330022218,-5.11342655950415,3.02823980145777,2.90464238263222
sub-Vog086,Mainz,r,m,0.0769408627555012,-0.486773775909512,-0.0510119171181255,-0.921586378878772,-0.767847183331078,2.5084466546354,2.3914490208792
sub-Vog087,Mainz,r,f,-0.584745975795533,-0.942583221049584,-1.31254835775976,-5.99572487924203,-5.04591099414162,1.82089184378187,2.1610849906108
sub-Vog088,Mainz,r,f,-0.653894725821135,-0.462463114462061,-0.345201095652243,-3.43733334211479,-2.94460074945464,0.998739466025603,0.868029144798181
sub-Vog089,Mainz,r,f,0.442266114181197,0.172404204061482,0.47070864051939,-1.90467778375691,-2.26172413578546,2.2605295964787,2.16397623664742
sub-Vog090,Mainz,a,f,0.14927721645677,0.024530947336881,0.168117063061596,-3.17320767850807,-3.29145121245875,1.79347183896461,1.97889514417578
sub-Vog091,Mainz,r,m,-0.296547707932627,-0.842015770307554,-0.936997336669891,-1.99635978270107,-1.30369219015599,2.50131128916014,2.50633193170824
sub-Vog092,Mainz,r,f,0.286729883353318,0.0975937942155384,-0.0259557696751418,-3.26428663096894,-3.37945968868441,1.6037132371431,1.43883610098352
sub-Vog093,Mainz,r,m,0.701212481442717,0.141743898338892,0.0296199526134239,-0.398016476937425,-0.674379066079348,2.14638103812394,2.33019188656587
sub-Vog094,Mainz,r,f,-0.681660774793848,-1.01446254597377,-0.255143994058252,-0.852185789001709,-0.188820138555437,0.215972342089989,0.182478041428464
sub-Vog095,Mainz,r,f,0.20863071805336,-0.577936538901301,-0.51167514779421,-1.66329330579651,-1.36680175714682,2.73696930752206,2.70648458303452
sub-Vog096,Mainz,r,m,-0.310407693210684,-0.88233302174304,-0.672592743302778,-2.10502137819557,-1.48645559892949,2.10112533954979,2.42531785200718
