ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,K,D_prime
sub-Vog024,Dartmouth,n/a,n/a,-0.36583394032486,-0.258193665130262,-0.667534072239216,2.35585143257143,2.24286059261272
sub-Vog025,Dartmouth,r,m,-0.285963719315491,-0.856512479617368,-0.626382672849502,2.11148329701309,2.60412094857821
sub-Vog027,Dartmouth,r,f,-1.72856166901017,-1.80349502536203,-1.92147704742116,2.36654947701123,3.09847923185692
sub-Vog028,Dartmouth,r,f,-0.00321458865671018,-0.500694998733448,-0.198144253024131,2.62578812166656,2.16524510522239
sub-Vog029,Florida,r,f,-1.59761355578387,-0.479322655586886,-0.285896972839668,1.63244721844362,1.30094736026392
sub-Vog031,Florida,l,f,0.0971396353623393,0.0760014177769254,0.332954552168377,1.56541425108298,1.49744128265789
sub-Vog032,Florida,r,f,-0.427423582382183,-0.28388528944475,0.11670237076748,2.56421003797397,2.20433334045398
sub-Vog033,Florida,r,f,-1.43273072535958,-0.684515057596464,-1.03702976313113,1.49593724208199,1.17617368470309
sub-Vog035,Florida,r,f,-0.453341169089233,-1.9104451151923,-1.37694254740717,2.16024103817418,2.26186737265802
sub-Vog036,Florida,r,m,-1.33258566919726,-0.307482399417377,-0.449576424467683,2.25119804562925,2.35046738977216
sub-Vog037,Florida,l,f,0.746579071187766,0.228634166123806,-1.20634786828312,1.50276531841305,1.37166036914623
sub-Vog038,Florida,r,f,0.904996102758298,0.454950785539325,0.014587185015996,2.11539648660687,2.11468450713455
sub-Vog040,Florida,a,f,-0.248988882875964,-0.945654429586311,-0.411868726667184,0.684242254697865,0.782424010997368
sub-Vog043,Florida,r,f,0.0532083095574256,-0.0911799897651009,-0.41637430312413,0.321541017524401,0.290631665333165
sub-Vog045,Florida,l,f,0.314690122526688,-0.148922586117927,-0.278962164360445,1.63438936247506,1.69957658156271
sub-Vog046,Florida,r,f,0.778889690311463,-0.23871287081406,-1.45686260856664,1.46583567218482,1.18022173765666
sub-Vog048,Florida,l,f,0.0910052338214514,0.311674104833764,0.350321170883487,2.13398904771234,2.05750999847645
sub-Vog049,Florida,r,f,-1.82424078102891,-1.08325434182101,-0.21127760485436,1.71367420700815,1.67836140399157
sub-Vog052,Florida,n/a,f,0.00125485223948055,-0.127886070867005,0.2547918560288,0.988076957322359,0.719534977268804
sub-Vog053,Florida,r,f,-0.514147408812762,-0.233698591814081,0.0603083016163867,1.09701220719872,1.37275857670775
sub-Vog056,Florida,r,f,-0.0367240345809583,-0.552394200171533,0.257641089088402,1.47654690130662,1.50871013642211
sub-Vog059,Florida,r,f,-1.64653899787317,-0.190582138978273,-1.46120383471677,2.15588146661147,2.42069688564098
sub-Vog061,Florida,r,f,-0.360299522900496,0.113813842481469,-0.253742458497262,2.28483019771022,2.03178370478827
sub-Vog062,Florida,r,f,0.366954912740618,-0.904310875604078,-0.984939846343802,1.32745791511065,1.71745246072513
sub-Vog066,Florida,l,f,-0.636048899175021,1.20536895513735,-1.47205596093869,2.64027356427842,2.54934166362094
sub-Vog069,Florida,r,m,0.233712506424368,0.555316277228207,1.36974785960989,2.20019860565213,1.8805477085238
sub-Vog070,Florida,l,f,0.221461122301523,-0.0512536079814658,-0.725096882576684,2.62387139763452,3.02534534608037
sub-Vog071,Florida,r,f,-0.231673164685134,0.187926686792843,-0.189797897470054,1.21012192799566,1.69716221285874
sub-Vog072,Florida,r,f,-0.567272231560577,0.144528693852646,0.326564155135975,2.49274795886357,2.17876320755618
sub-Vog075,Florida,r,f,-0.456247472992009,1.37797845121258,0.160345940111401,1.80800678627116,1.59931981708501
sub-Vog083,Mainz,r,f,0.00903422228061087,0.117406295838462,0.197617072881933,1.66407057836116,2.38521213631286
sub-Vog086,Mainz,r,m,-0.189938695733101,-0.832618415764703,-0.182061453615479,2.5084466546354,2.3914490208792
sub-Vog087,Mainz,r,f,-0.634581389521179,-1.25721828970849,-1.24054177012521,1.82089184378187,2.1610849906108
sub-Vog089,Mainz,r,f,0.695232300436463,-0.017462196039703,0.365507215501635,2.2605295964787,2.16397623664742
sub-Vog091,Mainz,r,m,-0.319113937398135,-0.861976459687115,-0.994143815181412,2.50131128916014,2.50633193170824
sub-Vog094,Mainz,r,f,-0.646828967507413,-1.04379032576359,-0.203417980245149,0.215972342089989,0.182478041428464
sub-Vog096,Mainz,r,m,-0.303975735602338,-0.903654658641384,-0.71176324877082,2.10112533954979,2.42531785200718
sub-Vog097,Mainz,r,m,-0.731770021664511,-1.34646346894853,-1.79375013140965,2.30551456606072,2.54640453518878
sub-Vog099,Mainz,r,m,0.609169943220066,0.0463659388756195,0.373462874431965,1.93616737421352,2.49249372411979
sub-Vog100,Mainz,r,f,-1.0191260221446,-1.08644722978078,-1.17538123243753,1.30660558008514,1.29350130531573
sub-Vog103,Mainz,l,m,-0.287075538420351,-0.153434394410627,-0.520396085136409,1.75824034900788,1.67830111346292
sub-Vog104,Münster,r,f,0.445398051431125,-0.971318614935103,-1.06160484012121,3.5419952844807,3.71352442827891
sub-Vog106,Münster,r,m,-1.01290052301683,-1.99821305788625,-1.86360106597651,2.26891405586275,2.78890512206943
sub-Vog107,Münster,r,f,-0.714883844438242,-0.401643948252016,-1.35881346933613,3.18799788432257,3.03124068202562
sub-Vog108,Münster,r,f,-0.639025742089063,-0.320582099628741,-0.767484599672753,2.23944860276961,2.40412560953179
sub-Vog110,Münster,r,m,-1.10820917289833,-1.72511459948856,-0.707990532767935,2.68054924068218,2.64213915995395
sub-Vog111,Münster,r,f,-1.14088410178257,-0.890737863944212,-0.960767921709366,2.6710494108291,2.77880250498671
sub-Vog112,Münster,r,f,-1.10068585071403,-1.18253279554368,-0.369687103356624,2.72009782326163,3.14318874672798
sub-Vog113,Münster,r,f,-1.01717982610083,-0.94131373343628,-0.671023103580165,3.24900768367048,3.08191936494988
sub-Vog114,Münster,r,f,-0.882290657477284,-1.05333117414228,-0.458884933291379,2.34823004601487,2.62835671037313
sub-Vog115,Münster,r,f,-0.984446156687023,-2.25525408736238,-2.0580854455867,2.86264832329989,2.83305399205506
sub-Vog116,Münster,r,f,0.182043822546141,-0.50164115588605,-0.572748318198932,1.99288880511967,2.01779056994734
sub-Vog117,Münster,r,f,-0.123286879717859,-0.690135356602262,-0.694879238753243,1.6473934675812,1.53016920687544
sub-Vog118,Münster,r,f,-0.122414006643015,-0.827091678557037,-1.0713208588014,2.40855092204717,2.5244640283508
sub-Vog119,Münster,r,m,0.482288131625751,-0.182242233963612,0.257961541790904,2.83788564128414,2.82669737123943
sub-Vog120,Münster,r,f,0.13743977868012,-0.66059289239225,-0.473957390685811,3.19863667681143,3.16219110695447
sub-Vog121,Münster,r,f,-0.797059076897175,-1.45271704685463,-1.77791808694281,2.98117635619304,3.17023907467282
sub-Vog122,Münster,r,f,0.949515595744134,-1.05881942667975,-1.06698910457828,3.05744119434558,3.0622361006277
sub-Vog123,Münster,r,f,-0.209878382852506,-0.557877100684428,-0.323508040974466,2.88610904422069,2.80681234625578
sub-Vog124,Münster,r,f,-0.468082773363854,-1.49764036361185,-1.09984176671155,2.95909425977557,3.09654500223261
sub-Vog126,Münster,r,f,-0.549803037431652,-0.837304398294757,-1.73004796446499,2.91776610294147,3.24413777284026
sub-Vog127,Münster,r,f,0.240471286141603,-0.77872938793305,-0.447566741263717,2.84588009101712,3.29659127352175
sub-Vog128,Münster,r,f,-0.261551969593331,-1.28486716122237,-0.670505764710916,2.05210594446426,1.75960624934031
sub-Vog129,Münster,r,f,-0.755956417291008,-1.66647505019339,-1.38980785616529,3.06115201862865,3.37674929424823
sub-Vog131,Münster,l,f,-0.910269800675512,-1.99295414586709,-2.28114702566558,2.18957752322689,2.07556873117819
sub-Vog132,Münster,r,f,-1.20197923599712,-1.83041772976912,-1.03997951366731,2.8249777680047,3.19069050679288
sub-Vog133,Münster,r,f,-2.09899811035336,-1.31453161635207,-2.73240338239379,2.43237270463045,3.15592666517842
sub-Vog134,NorthDakota,n/a,m,-1.0252215021336,-1.22407917190688,-0.65447240942181,2.82524291292073,3.11449752981975
sub-Vog135,NorthDakota,n/a,f,0.026628261723887,0.122374129586106,-0.467665437776401,1.60783234177505,1.55481215614343
sub-Vog136,NorthDakota,n/a,m,-1.37061526972084,-1.44174413918801,-2.08001380621751,1.88777295043262,2.017177341138
sub-Vog138,NorthDakota,n/a,m,-1.79235486219643,-1.68190557115366,-0.927839991248408,2.13992625285507,2.17133284094002
sub-Vog139,NorthDakota,n/a,f,-0.57135992839919,0.106130358212303,-0.594993654367771,1.09414034696541,0.95280161206697
sub-Vog140,NorthDakota,n/a,m,0.377503612774598,0.197048410135564,0.197104678169853,1.91002588728531,2.00392287862723
sub-Vog141,NorthDakota,n/a,m,-1.16166342966755,-0.784704063536879,-0.769380141123528,1.90180065667723,1.89846183172152
sub-Vog143,NorthDakota,n/a,f,-0.00560531595049687,-0.474329780215281,-0.623410268287817,1.15434441042378,1.47224104825616
sub-Vog146,NorthDakota,n/a,f,0.0628002120042088,-1.56987960864972,-1.03262475491703,1.82241459175065,1.68319947083039
sub-Vog147,NorthDakota,n/a,f,0.944474426534038,-0.402841824643607,-0.144283243247211,1.73933133959524,1.81068551800512
sub-Vog148,NorthDakota,n/a,f,0.320518451905125,-0.109075127823915,0.487624729291314,1.45342297300232,1.69795019383539
sub-Vog149,NorthDakota,n/a,m,-0.148596333315042,0.345169530818817,-0.0872054168997997,1.0156933481112,0.951491805875918
